day,busid,Travelto48,Dwell48,Travelto60,Dwell60,Travelto50,Dwell50,Travelto51,Dwell51,Travelto52,Dwell52,Travelto45,Dwell45,Travelto46,Dwell46,Travelto6,Dwell6,Travelto8,Dwell8,Travelto10,Dwell10,Travelto11,Dwell11,Travelto12,Dwell12,Travelto13,Dwell13,Travelto14,Dwell14,Travelto1,Dwell1,Travelto55,Dwell55,Travelto57,Dwell57,Travelto58,Dwell58,Travelto59,Dwell59,Travelto107,Dwell107,Travelto61,Dwell61,Travelto62,Dwell62
2015-02-03,640,976,12,30,38,64,22,66,50,66,38,72,34,112,28,104,30,64,30,74,42,68,34,86,32,64,30,46,32,80,30,118,30,54,40,54,34,112,34,56,22,32,26,50,32
2015-02-03,640,944,8,26,50,70,40,96,56,68,30,60,56,144,32,134,62,144,96,156,72,96,92,144,64,98,42,54,42,102,50,174,36,52,46,58,42,130,48,66,30,40,26,44,36
2015-02-03,640,160,10,24,50,70,38,110,38,50,36,66,34,84,30,72,30,56,39,98,26,50,40,92,34,62,36,48,26,70,28,146,24,40,20,32,40,146,32,50,20,36,31,44,16
2015-02-03,640,918,10,22,36,56,32,88,46,58,22,50,40,94,52,118,28,58,32,99,37,61,48,156,62,98,140,152,46,482,74,404,42,56,34,46,34,74,40,60,32,42,11,26,32
2015-02-03,640,122,26,36,18,36,28,126,44,57,21,49,32,106,30,112,36,64,42,104,30,60,48,100,50,78,60,72,8,64,38,132,24,46,34,46,42,78,38,62,42,50,26,44,28
2015-02-03,640,894,24,39,15,35,30,98,40,52,26,56,36,100,48,194,38,64,34,66,38,62,34,88,92,124,34,48,42,116,60,174,34,54,68,78,35,120,38,58,30,38,26,44,34
2015-02-03,640,1000,24,36,32,50,16,104,40,64,20,56,38,100,54,120,30,57,33,91,32,58,50,824,72,112,42,56,26,124,60,148,38,56,54,66,27,62,40,56,30,38,26,38,36
2015-02-03,640,118,22,32,28,46,14,76,30,44,18,46,30,64,49,115,28,54,34,92,16,38,36,82,50,80,40,52,24,96,47,131,27,43,36,52,29,85,37,57,25,33,30,51,26
2015-02-03,640,598,10,26,40,61,14,137,45,60,49,82,38,188,30,67,49,73,38,72,16,41,41,92,48,81,59,74,27,86,44,192,35,56,48,59,41,125,14,32,38,50,34,55,48
2015-02-03,640,189,10,28,24,48,14,78,50,64,34,66,11,60,62,116,28,56,46,80,32,62,34,89,38,70,26,40,10,72,46,132,28,48,66,80,72,134,32,64,28,40,24,44,44
2015-02-03,640,578,12,26,22,44,14,60,42,54,32,66,38,94,28,80,30,60,36,90,16,42,44,100,42,76,50,62,26,64,36,124,28,47,71,83,34,76,34,56,28,40,26,50,44
2015-02-03,640,718,12,29,35,59,14,92,18,38,39,71,37,111,28,82,24,54,24,60,38,66,42,96,33,64,46,60,26,86,42,182,6,24,34,48,32,114,30,52,26,38,33,52,38
2015-02-03,640,618,10,29,21,43,16,90,16,30,24,72,10,138,24,86,30,58,28,90,14,42,30,84,18,48,42,54,6,42,35,116,30,50,42,56,36,128,38,57,23,33,31,50,40
2015-02-03,640,704,10,26,24,44,16,74,304,316,30,76,28,79,25,95,20,46,26,58,48,74,34,82,40,70,38,50,6,34,48,128,24,42,30,42,14,60,32,52,28,40,28,50,38
2015-02-03,640,580,10,30,30,50,15,88,14,26,28,60,32,92,26,56,42,64,6,34,42,66,32,82,32,62,36,48,22,,,,,,,,,,,,,,,
2015-02-04,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,44,122,24,42,32,46,42,106,30,50,30,40,11,30,38
2015-02-04,640,548,10,24,22,42,14,86,14,26,18,48,12,48,6,32,14,38,6,34,14,38,18,66,18,48,18,30,6,40,36,118,22,38,22,32,28,148,24,42,22,30,10,30,24
2015-04-21,640,255,14,26,32,53,37,132,42,53,43,73,38,95,35,209,35,85,57,126,41,75,63,116,54,85,56,68,26,84,26,107,24,40,24,35,19,71,13,32,19,28,10,28,27
2015-04-21,640,770,24,38,42,63,28,121,17,30,23,51,30,66,32,107,31,60,13,81,27,51,35,79,37,71,47,62,22,92,35,122,23,42,30,42,41,70,27,47,19,29,26,44,35
2015-04-21,640,1075,32,45,19,43,31,91,69,72,40,72,38,92,68,174,35,96,61,130,62,87,46,273,145,197,130,143,40,209,35,233,22,41,40,50,31,60,29,46,16,26,25,43,31
2015-04-21,640,133,20,32,17,36,20,55,35,51,20,46,30,99,21,56,11,83,25,63,28,52,35,81,32,63,26,39,21,68,29,118,26,44,30,44,27,110,30,48,28,38,20,36,15
2015-04-21,640,1138,7,19,28,47,16,56,38,53,17,46,37,85,31,116,24,52,39,83,30,49,27,111,108,136,28,40,26,110,42,137,31,49,23,35,35,112,28,46,24,33,24,41,14
2015-04-21,640,1023,10,21,23,42,17,78,27,42,25,61,26,74,28,118,29,83,25,79,40,65,30,113,30,56,48,80,22,72,70,182,21,40,28,39,31,111,26,47,30,38,23,42,26
2015-04-21,640,,,,29,47,18,46,25,38,18,43,31,101,32,59,23,85,26,62,68,86,42,98,42,71,39,51,30,100,33,118,22,40,28,41,33,96,26,45,18,28,29,46,24
2015-04-21,640,975,24,40,18,38,32,107,47,58,28,65,47,160,36,125,28,57,55,136,47,67,38,173,83,128,65,78,32,100,33,232,24,43,40,51,34,66,34,55,29,38,26,47,32
2015-04-21,640,634,28,40,18,42,31,105,30,41,53,82,25,114,27,69,25,88,19,56,25,45,32,77,35,64,30,42,22,54,28,114,21,36,25,36,28,111,30,53,,,,,
2015-04-21,640,952,8,19,16,34,25,54,35,47,34,63,10,81,34,93,26,79,34,70,52,77,38,84,43,75,55,68,27,182,33,117,23,41,32,43,33,96,34,52,19,27,22,40,24
2015-04-07,643,,12,28,26,48,18,74,18,34,48,90,36,90,8,46,32,94,32,110,20,46,46,106,44,80,38,52,28,72,38,140,34,54,44,60,34,80,38,62,36,48,30,54,50
2015-04-07,643,624,12,26,26,50,18,82,38,54,20,56,14,62,32,90,36,90,38,114,16,44,32,92,36,70,46,62,14,68,46,170,66,88,38,54,42,124,42,68,33,42,30,54,38
2015-04-07,643,580,11,26,44,68,16,64,42,58,38,74,10,60,26,96,30,60,30,74,26,52,34,90,32,66,40,54,8,54,56,148,8,28,40,54,30,110,40,62,34,44,10,30,50
2015-04-07,643,680,12,32,26,48,32,106,36,50,20,54,34,80,16,54,58,100,14,54,48,74,54,108,32,68,32,46,26,110,42,180,30,51,23,37,40,90,40,62,32,44,26,48,44
