day,busid,Travelto118,Dwell118,Travelto64,Dwell64,Travelto78,Dwell78,Travelto76,Dwell76
2015-02-02,648,498,26,50,52,82,16,278,2
2015-02-02,648,,,,,,,,120
2015-02-02,648,490,32,54,54,88,34,368,12
2015-02-02,648,,,,,,,,248
2015-02-02,648,667,73,118,107,139,40,364,887
2015-02-02,648,1200,28,48,40,70,28,394,2
2015-02-02,648,,,,,,,,188
2015-02-02,648,520,52,76,126,168,50,406,2
2015-02-02,648,1044,62,84,156,194,44,386,2
2015-02-02,648,950,4,68,50,82,22,328,2
2015-02-02,648,,,,,,,,218
2015-02-02,648,606,38,62,40,76,50,350,4
2015-02-02,648,,,,,,,,196
2015-02-02,648,592,48,72,66,106,56,416,4
2015-02-02,648,,,,,,,,258
2015-02-02,648,738,60,82,46,78,34,360,6
2015-02-02,648,,,,,,,,144
2015-02-02,648,554,48,70,32,66,34,386,2
2015-02-02,648,932,44,68,56,102,40,412,4
2015-02-02,648,910,50,76,68,108,46,376,3
2015-02-02,648,,,,,,,
2015-02-03,648,,,,,,,,226
2015-02-03,648,556,34,54,58,88,40,,
2015-02-03,648,,,,7,,,,270
2015-02-03,648,594,24,46,36,66,28,462,632
2015-02-03,648,912,28,48,28,56,12,,181
2015-02-03,648,475,40,66,44,80,28,342,10
2015-02-03,648,,,,,,,,206
