Day,Date,Ridership,YearMonthDay,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Max5Speed,Max5Dir,Max2Speed,Max2Dir
Tuesday,4/7/2015,17185,20150407,67,54,61,M,60,60,4,0,RA FG+ BR,M,M,M,0.56,29.1,29.99,4.8,15,6,30,140,23,130
Wednesday,4/8/2015,17271,20150408,76,58,67,M,60,61,0,2,TS TSRA BR VCTS,M,M,M,0.05,29.04,29.93,4.9,16,6.9,28,150,24,150
Thursday,4/9/2015,16242,20150409,79,58,69,M,60,64,0,4,TSRA RA BR VCTS,M,M,M,0.03,28.93,29.79,12.6,21,13,43,240,29,220
Friday,4/10/2015,9895,20150410,72,45,M,M,38,47,M,M,RA,M,M,M,0.78,29.02,29.96,11.5,28,12.6,32,280,23,290
Saturday,4/11/2015,2438,20150411,64,35,50,M,32,42,15,0, ,M,M,M,0,29.31,30.23,1,10,2.6,13,130,10,110
Sunday,4/12/2015,1810,20150412,73,39,56,M,34,46,9,0, ,M,M,M,0,29.23,30.12,4.7,14,5.2,19,120,15,140
Monday,4/13/2015,17484,20150413,73,50,62,M,52,57,3,0,RA,M,M,M,  T,29.15,30.05,3.1,22,8.8,29,210,20,210
Tuesday,4/14/2015,16162,20150414,67,52,60,M,34,47,5,0, ,M,M,M,0,29.25,30.15,9.5,5,9.7,31,60,22,70
Wednesday,4/15/2015,17440,20150415,69,51,60,M,39,49,5,0,RA BR,M,M,M,0.19,29.21,30.12,11.2,10,11.8,29,100,23,110
Thursday,4/16/2015,16896,20150416,70,53,62,M,57,58,3,0,RA FG+ BR,M,M,M,0.62,29.17,30.06,2.5,18,5.2,18,120,14,100
Friday,4/17/2015,9783,20150417,78,47,63,M,50,55,2,0,FG+ FG BR,M,M,M,0,29.18,30.06,0.7,1,1.6,13,110,8,90
Saturday,4/18/2015,2338,20150418,78,48,63,M,46,55,2,0, ,M,M,M,0,29.09,29.99,4.3,10,4.6,19,110,15,90
Sunday,4/19/2015,2102,20150419,65,56,61,M,54,58,4,0,RA BR,M,M,M,1.13,28.76,29.6,5.2,14,8.9,30,240,23,240
Monday,4/20/2015,17293,20150420,59,45,52,M,44,49,13,0,RA BR,M,M,M,0.13,28.66,29.59,11.5,26,12.4,37,270,23,280
Tuesday,4/21/2015,16219,20150421,63,43,53,M,31,44,12,0, ,M,M,M,0,28.87,29.77,11.8,25,12.5,38,240,26,270
Wednesday,4/22/2015,16598,20150422,54,37,46,M,29,40,19,0,RA,M,M,M,  T,28.94,29.86,9.5,29,10.3,31,270,24,280
Thursday,4/23/2015,15867,20150423,57,33,45,M,20,36,20,0, ,M,M,M,0,29.11,30.04,5.5,30,6.3,29,270,18,270
Friday,4/24/2015,11468,20150424,65,29,47,M,25,40,18,0,RA,M,M,M,0,29.13,30.02,4.3,15,4.5,22,180,16,180
Saturday,4/25/2015,4729,20150425,57,46,52,M,46,48,13,0,RA BR,M,M,M,0.22,28.78,29.67,8.9,9,10.1,23,20,17,60
Sunday,4/26/2015,2082,20150426,61,42,52,M,35,43,13,0, ,M,M,M,0,28.94,29.86,9.5,3,10.3,24,10,20,10
Monday,4/27/2015,17157,20150427,63,37,50,M,35,42,15,0, ,M,M,M,0,29.1,30.02,8.7,36,9.1,27,10,21,20
Tuesday,4/28/2015,15619,20150428,65,35,50,M,37,44,15,0,RA,M,M,M,0,29.14,30.04,4.3,4,5.2,21,70,15,20
Wednesday,4/29/2015,16312,20150429,68,38,53,M,40,47,12,0, ,M,M,M,0,28.97,29.87,2.7,35,3.3,23,350,17,10
Thursday,4/30/2015,16011,20150430,63,43,53,M,37,45,12,0,TS RA,M,M,M,  T,28.97,29.89,7.3,36,7.6,32,10,23,10
Friday,5/1/2015,9704,20150501,71,37,54,M,40,48,11,0, ,M,M,M,0,29.18,30.09,3.5,34,4.7,19,360,13,10
Saturday,5/2/2015,2072,20150502,75,46,61,M,44,52,4,0,RA,M,M,M,0,29.18,30.08,3.4,22,4.4,20,230,16,230
Sunday,5/3/2015,1903,20150503,80,49,65,M,46,55,0,0, ,M,M,M,0,29.15,30.05,5.3,20,5.9,25,200,17,190
Monday,5/4/2015,10083,20150504,81,56,69,M,53,60,0,4, ,M,M,M,  T,29.21,30.12,5.6,20,6.1,22,210,16,240
Tuesday,5/5/2015,9987,20150505,84,59,72,M,53,61,0,7, ,M,M,M,0,29.28,30.18,6.6,22,6.8,24,240,17,230
Wednesday,5/6/2015,8410,20150506,85,51,68,M,53,60,0,3,BR,M,M,M,0,29.25,30.14,1.5,19,2.7,17,180,13,210
Thursday,5/7/2015,7940,20150507,87,56,72,M,53,61,0,7, ,M,M,M,0,29.16,30.05,1.1,19,2.4,15,230,14,180
Friday,5/8/2015,4811,20150508,87,57,72,M,57,63,0,7,RA,M,M,M,  T,29.11,30,5.9,20,10.7,28,220,20,270
