Day,Date,Ridership,YearMonthDay,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Max5Speed,Max5Dir,Max2Speed,Max2Dir
Thursday,11/20/2014,18476,20141120,31,18,25,M,15,22,40,0, ,M,M,M,0,29.24,30.2,7.4,26,7.7,23,240,18,240
Friday,11/21/2014,7477,20141121,36,12,24,M,10,22,41,0, ,M,M,M,0,29.47,30.43,4.8,14,5.5,15,130,13,120
Saturday,11/22/2014,180,20141122,58,32,45,M,36,42,20,0,RA,M,M,M,0.02,29.25,30.14,9.2,18,10.3,32,210,22,210
Sunday,11/23/2014,175,20141123,57,48,53,M,47,49,12,0,RA BR,M,M,M,1.45,28.84,29.65,9.3,15,10.9,44,250,26,240
Monday,11/24/2014,205,20141124,59,36,48,M,39,43,17,0,TSRA RA BR,M,M,M,0.2,28.59,29.56,15.9,24,17.1,45,280,29,240
Tuesday,11/25/2014,239,20141125,36,28,32,M,26,30,33,0, ,M,M,M,0,29.15,30.11,5.2,27,6.3,20,300,15,290
Wednesday,11/26/2014,212,20141126,38,26,32,M,24,28,33,0,SN,M,M,M,  T,29.18,30.11,2.6,7,4.1,14,110,12,120
Thursday,11/27/2014,NA,20141127,31,22,27,M,22,25,38,0,SN BR HZ,M,M,M,  T,29.36,30.33,6.4,31,8,20,260,16,280
Friday,11/28/2014,NA,20141128,37,15,26,M,21,26,39,0,BR,M,M,M,0,29.36,30.26,6.2,17,6.8,21,140,16,150
Saturday,11/29/2014,243,20141129,58,32,45,M,39,43,20,0, ,M,M,M,0,28.98,29.89,12.8,20,13.7,33,210,23,210
Sunday,11/30/2014,942,20141130,65,44,55,M,52,55,10,0,BR,M,M,M,0.09,28.98,29.92,13.2,23,14.6,35,220,24,230
Monday,12/1/2014,20188,20141201,44,30,37,M,28,32,28,0,RA BR UP,M,M,M,0.15,29.46,30.43,9.5,1,10.4,27,10,22,10
Tuesday,12/2/2014,19625,20141202,34,29,32,M,28,31,33,0,BR,M,M,M,0,29.36,30.27,2.4,15,6.8,17,230,13,220
Wednesday,12/3/2014,19518,20141203,42,24,33,M,30,32,32,0,FZRA SN BR,M,M,M,0.01,29.34,30.29,5.8,26,6,18,260,14,260
Thursday,12/4/2014,19718,20141204,36,25,31,M,30,32,34,0,RA BR,M,M,M,0.14,29.41,30.33,5.2,10,4.8,M,M,10,110
Friday,12/5/2014,13412,20141205,45,36,41,M,40,41,24,0,RA FG+ FG BR,M,M,M,1.6,29.25,30.16,2.9,9,4.9,16,20,12,360
Saturday,12/6/2014,4895,20141206,45,34,40,M,36,38,25,0,RA BR,M,M,M,0.34,29.36,30.34,12.7,2,13.4,28,350,22,10
Sunday,12/7/2014,2713,20141207,40,28,34,M,27,32,31,0, ,M,M,M,0,29.59,30.5,6.9,9,7.5,19,120,15,110
Monday,12/8/2014,18999,20141208,43,32,38,M,34,36,27,0,RA BR,M,M,M,0.06,29.28,30.18,5.3,21,7.5,23,300,15,290
Tuesday,12/9/2014,18699,20141209,40,33,37,M,34,36,28,0,RA BR,M,M,M,  T,29.27,30.21,5.6,31,6.1,18,260,13,290
Wednesday,12/10/2014,19151,20141210,37,32,35,M,28,31,30,0, ,M,M,M,0,29.36,30.29,6.5,35,6.9,19,360,14,360
Thursday,12/11/2014,18232,20141211,40,23,32,M,24,29,33,0,BR,M,M,M,0,29.32,30.26,3.3,32,4.9,15,240,12,260
Friday,12/12/2014,11884,20141212,37,22,30,M,27,29,35,0,BR,M,M,M,0,29.41,30.35,2.9,28,3.4,13,280,8,290
Saturday,12/13/2014,2738,20141213,48,34,41,M,36,39,24,0,BR HZ,M,M,M,0,29.34,30.26,3.1,23,3.2,10,260,8,240
Sunday,12/14/2014,2052,20141214,50,42,46,M,42,44,19,0,BR,M,M,M,0,29.23,30.15,4.7,18,5.4,17,140,14,140
Monday,12/15/2014,11549,20141215,47,41,44,M,40,42,21,0,RA BR,M,M,M,  T,29.05,29.92,9.1,14,9.3,20,120,17,150
Tuesday,12/16/2014,11783,20141216,50,31,41,M,38,39,24,0,RA SN BR,M,M,M,0.23,28.97,29.93,10.6,27,11.5,30,260,21,280
Wednesday,12/17/2014,9720,20141217,31,24,28,M,23,25,37,0, ,M,M,M,0,29.33,30.28,7,29,7.7,22,290,15,280
Thursday,12/18/2014,8804,20141218,30,23,27,M,21,25,38,0,BR,M,M,M,0,29.34,30.28,1.2,5,2,12,10,9,360
Friday,12/19/2014,4066,20141219,33,22,28,M,22,27,37,0,BR,M,M,M,0,29.35,30.29,3.2,7,4.1,14,60,9,80
